sic_description,count
"('Chemical Preparations, Nec', 'Chemical Preparations, Nec')",1
"('Air, Water, and Solid Waste Management', 'Heavy Construction, Nec', 'Heavy Construction, Nec', 'Heavy Construction, Nec')",1
"('Drycleaning Plants, Except Rugs', 'Refrigeration and Heating Equipment', 'Plumbing, Heating, Air-conditioning', 'Electric Services', 'Electric Services', 'Semiconductors and Related Devices', 'General Government, Nec', 'General Government, Nec', 'Dairy Farms', 'Dairy Farms', 'Fabricated Rubber Products, Nec', 'Fabricated Rubber Products, Nec', 'Fabricated Rubber Products, Nec', 'Pharmaceutical Preparations', 'Refrigerated Warehousing and Storage', 'Refrigerated Warehousing and Storage', 'Gasoline Service Stations', 'Gasoline Service Stations', 'New and Used Car Dealers', 'Metal Stampings, Nec', 'Metal Stampings, Nec', 'Miscellaneous Fabricated Wire Products', 'Metal Stampings, Nec', 'Metal Stampings, Nec', 'Electric Services', 'Electric Services', 'Gasoline Service Stations', 'Hardware, Nec', 'Family Clothing Stores', 'Variety Stores', 'Commercial Physical Research', 'Top and Body Repair and Paint Shops', 'Commercial Physical Research', 'Pharmaceutical Preparations', 'Pharmaceutical Preparations', 'Pharmaceutical Preparations', 'General Automotive Repair Shops', 'Motorcycle Dealers', 'Gasoline Service Stations', 'Miscellaneous General Merchandise', 'Top and Body Repair and Paint Shops', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Storage Batteries', 'Electronic Components, Nec', 'Paint, Glass, and Wallpaper Stores', 'Variety Stores', 'General Medical and Surgical Hospitals', 'Variety Stores', 'Variety Stores', 'Public Golf Courses', 'Gasoline Service Stations', 'Family Clothing Stores', 'General Automotive Repair Shops', 'Commercial Physical Research', 'Metal Coating and Allied Services', 'Household Appliance Stores', 'Gasoline Service Stations', 'Family Clothing Stores', 'General Automotive Repair Shops', 'Family Clothing Stores', 'Trucking, Except Local', 'Trucking, Except Local', 'Variety Stores', 'General Automotive Repair Shops', 'Drug Stores and Proprietary Stores', 'Grapes', 'Variety Stores', 'Trucking Terminal Facilities', 'Gasoline Service Stations', 'Variety Stores', 'Equipment Rental and Leasing, Nec', 'Variety Stores', 'Variety Stores', 'General Automotive Repair Shops', 'Trucking Terminal Facilities', 'Trucking Terminal Facilities', 'Trucking Terminal Facilities', 'General Automotive Repair Shops', 'Local Bus Charter Service', 'Local Bus Charter Service', 'Industrial Launderers', 'Construction Sand and Gravel', 'Construction Sand and Gravel', 'Metal Heat Treating', 'Metal Heat Treating', 'Fabricated Structural Metal', 'Fabricated Structural Metal', 'Scrap and Waste Materials', 'Scrap and Waste Materials', 'Ready-mixed Concrete', 'Ready-mixed Concrete', 'Motor Vehicle Parts, Used', 'Motor Vehicle Parts, Used', 'Boatbuilding and Repairing', 'Boatbuilding and Repairing', 'Ready-mixed Concrete', 'Ready-mixed Concrete', 'Electronic Components, Nec', 'Electronic Components, Nec', 'Wood Kitchen Cabinets', 'Wood Kitchen Cabinets', 'Wood Kitchen Cabinets', 'Wood Kitchen Cabinets', 'Commercial Printing, Lithographic', 'Commercial Printing, Lithographic', 'Metal Coating and Allied Services', 'Metal Coating and Allied Services', 'Ice Cream and Frozen Desserts', 'Ice Cream and Frozen Desserts', 'Industrial Machinery, Nec', 'Industrial Machinery, Nec', 'Industrial Machinery, Nec', 'Industrial Machinery, Nec', 'Commercial Physical Research')",1
"('Meat Packing Plants', 'Meat Packing Plants')",1
"('Auto Exhaust System Repair Shops', 'New and Used Car Dealers', 'Wines, Brandy, and Brandy Spirits', 'Wines, Brandy, and Brandy Spirits', 'Wines, Brandy, and Brandy Spirits', 'Wines, Brandy, and Brandy Spirits', 'Pharmaceutical Preparations', 'Radiotelephone Communication', 'Hardware, Nec', 'Plastics Products, Nec', 'Plastics Products, Nec', 'Specialty Outpatient Clinics, Nec', 'General Automotive Repair Shops', 'Legal Services', 'Grapes', 'Reconstituted Wood Products', 'Reconstituted Wood Products', 'Plastics Materials and Resins', 'Plastics Products, Nec', 'Plastics Materials and Resins', 'Sausages and Other Prepared Meats', 'Gasoline Service Stations', 'Dairy Farms', 'Veterinary Services, Specialties', 'Drycleaning Plants, Except Rugs', 'General Automotive Repair Shops', 'Used Car Dealers', 'Legal Services', 'General Automotive Repair Shops', 'Top and Body Repair and Paint Shops', 'Motor Vehicle Parts, Used', 'Biological Products, Except Diagnostic', 'Cement, Hydraulic', 'Crushed and Broken Stone, Nec', 'Cement, Hydraulic', 'Crushed and Broken Stone, Nec', 'Motor Vehicle Parts, Used', 'Motor Vehicle Parts, Used', 'Local Trucking, Without Storage', 'Local Trucking, Without Storage', 'Trucking, Except Local', 'Trucking, Except Local', 'Oil and Gas Field Services, Nec', 'Oil and Gas Field Services, Nec', 'Trucking, Except Local', 'Trucking, Except Local', 'Food Preparations, Nec', 'Food Preparations, Nec', 'Paper; Coated and Laminated Packaging', 'Paper; Coated and Laminated Packaging', 'Motor Vehicles and Car Bodies', 'Motor Vehicles and Car Bodies', 'Petroleum Bulk Stations and Terminals', 'Petroleum Bulk Stations and Terminals', 'Surgical and Medical Instruments', 'Surgical and Medical Instruments', 'Local Trucking, Without Storage', 'Motor Vehicles and Car Bodies', 'Motor Vehicles and Car Bodies')",1
"('Electric Services',)",1
"('Rice Milling', 'Rice Milling', 'Rice Milling', 'Secondary Nonferrous Metals', 'Scrap and Waste Materials', 'Primary Aluminum', 'Scrap and Waste Materials', 'Printed Circuit Boards', 'Printed Circuit Boards', 'Fabricated Metal Products, Nec', 'Fabricated Metal Products, Nec', 'Fabricated Metal Products, Nec', 'New and Used Car Dealers', 'New and Used Car Dealers', 'Fuel Oil Dealers', 'Colleges and Universities', 'Local Trucking With Storage', 'Local Trucking With Storage', 'Heavy Construction Equipment Rental', 'Heavy Construction Equipment Rental', 'Paints, Varnishes, and Supplies', 'Paints, Varnishes, and Supplies', 'Water Supply', 'Fire Protection', 'Hardware', 'Boatbuilding and Repairing', 'Boatbuilding and Repairing', 'Boatbuilding and Repairing', 'Automotive Repair Shops, Nec', 'Florists', 'Trucking Terminal Facilities', 'Asphalt Paving Mixtures and Blocks', 'Asphalt Paving Mixtures and Blocks', 'Plating and Polishing', 'Plating and Polishing', 'Plating and Polishing')",1
"('Grapes', 'General Industrial Machinery,', 'Truck Rental and Leasing, Without Drivers', 'General Industrial Machinery,', 'Local Trucking, Without Storage', 'Local Trucking, Without Storage', 'Racing, Including Track Operation', 'Amusement and Recreation, Nec', 'Amusement and Recreation, Nec', 'Automotive Services, Nec', 'Automotive Services, Nec', 'Residential Construction, Nec', 'Electric Services', 'Electric Services', 'Gasoline Service Stations', 'Skilled Nursing Care Facilities', 'Skilled Nursing Care Facilities', 'Metal Heat Treating', 'Metal Heat Treating', 'Metal Heat Treating', 'Metal Heat Treating', 'Crop Harvesting', 'Crop Harvesting', 'General Automotive Repair Shops', 'General Automotive Repair Shops', 'General Automotive Repair Shops', 'General Automotive Repair Shops', 'General Automotive Repair Shops', 'Jewelry Stores', 'General Automotive Repair Shops', 'Food Crops Grown Under Cover', 'General Automotive Repair Shops', 'Trailer Parks and Campsites', 'Grapes', 'General Automotive Repair Shops', 'Skilled Nursing Care Facilities', 'Carpets and Rugs', 'Carpets and Rugs', 'General Automotive Repair Shops', 'General Automotive Repair Shops', 'Oil and Gas Field Services, Nec', 'Commercial Art and Graphic Design', 'Grapes', 'Grapes', 'Jewelry, Precious Metal', 'Automotive Repair Shops, Nec', 'Disinfecting and Pest Control Services', 'General Automotive Repair Shops', 'Industrial Machinery, Nec', 'General Automotive Repair Shops', 'Surgical Appliances and Supplies', 'Process Control Instruments', 'Top and Body Repair and Paint Shops', 'Construction Sand and Gravel', 'Crushed and Broken Granite', 'Construction Sand and Gravel', 'Food Preparations, Nec', 'Dry, Condensed, Evaporated Products', 'Food Preparations, Nec', 'Local Trucking With Storage', 'Local Trucking With Storage')",1
"('Public Order and Safety, Nec', 'Correctional Institutions', 'Gasoline Service Stations', 'Petroleum Bulk Stations and Terminals', 'Petroleum Bulk Stations and Terminals', 'Refined Petroleum Pipelines', 'Special Warehousing and Storage, Nec', 'Special Warehousing and Storage, Nec', 'Refined Petroleum Pipelines', 'Petroleum Bulk Stations and Terminals', 'Petroleum Bulk Stations and Terminals', 'Special Warehousing and Storage, Nec', 'Special Warehousing and Storage, Nec', ""Garment Pressing and Cleaners' Agents"", 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Nonferrous Wiredrawing and Insulating', 'Nonferrous Wiredrawing and Insulating', 'Gasoline Service Stations', 'Schools and Educational Services', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Process Control Instruments', 'Process Control Instruments', 'Gasoline Service Stations', 'Regulation, Administration of Transportation', 'Regulation, Administration of Transportation', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Electric Services', 'Electric Services', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Drug Stores and Proprietary Stores', 'Drug Stores and Proprietary Stores', 'Nitrogenous Fertilizers', 'Nitrogenous Fertilizers', 'Gasoline Service Stations', 'Food Preparations, Nec', 'Gasoline Service Stations', 'General Automotive Repair Shops', 'Gasoline Service Stations', 'Die-cut Paper and Board', 'Die-cut Paper and Board', 'Folding Paperboard Boxes', 'Die-cut Paper and Board', 'General Automotive Repair Shops', 'Auto and Home Supply Stores', 'Surgical and Medical Instruments', 'Local Trucking, Without Storage', 'Printed Circuit Boards', 'General Medical and Surgical Hospitals', 'Public Order and Safety, Nec', 'Correctional Institutions', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'General Automotive Repair Shops', 'Motor Vehicle Parts, Used', 'Motor Vehicle Parts, Used', 'Fabricated Metal Products, Nec', 'Industrial Machinery and Equipment', 'Family Clothing Stores', 'Hardware Stores', 'Metal Coating and Allied Services', 'Food Crops Grown Under Cover', 'Motor Vehicle Parts, Used', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'General Automotive Repair Shops', 'Police Protection', 'Gasoline Service Stations', 'Gasoline Service Stations', 'General Automotive Repair Shops', 'Aircraft Parts and Auxiliary Equipment, NEC (research and development not producing prototypes)', 'Offices and Clinics of Medical Doctors', 'Gasoline Service Stations', 'Services Allied To Motion Pictures', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Variety Stores', 'Aircraft Engines and Engine Parts (research and development not producing prototypes)', 'Residential Construction, Nec', 'Drycleaning Plants, Except Rugs', 'Gasoline Service Stations', 'Commercial Nonphysical Research', 'Petroleum Bulk Stations and Terminals', 'Auto and Home Supply Stores', 'Auto and Home Supply Stores', 'Industrial Machinery, Nec', 'New and Used Car Dealers', 'Manufacturing Industries, Nec', 'Manufacturing Industries, Nec', 'Motor Vehicle Parts, Used', 'Motor Vehicle Parts, Used', 'Fertilizers, Mixing Only', 'Fertilizers, Mixing Only', 'Petroleum Bulk Stations and Terminals', 'Petroleum Bulk Stations and Terminals', 'Petroleum Bulk Stations and Terminals', 'Petroleum Bulk Stations and Terminals', 'Scrap and Waste Materials', 'Scrap and Waste Materials', 'Scrap and Waste Materials', 'Scrap and Waste Materials', 'Commercial Physical Research', 'Structural Wood Members, Nec', 'Structural Wood Members, Nec', 'Gasoline Service Stations', 'Gasoline Service Stations', 'Scrap and Waste Materials', 'Variety Stores', 'Manufacturing Industries, Nec', 'Manufacturing Industries, Nec', 'Commercial Physical Research')",1
"('Heavy Construction, Nec', 'Paper Mills', 'Paper Mills', 'Heavy Construction, Nec', 'Heavy Construction, Nec', 'Sanitary Paper Products', 'Bags: Uncoated Paper and Multiwall', 'Sanitary Paper Products', 'Heavy Construction, Nec', 'Heavy Construction, Nec', 'Sanitary Paper Products')",1
"('Gasoline Service Stations', 'Water Supply')",1
"('Heavy Construction, Nec',)",1
"('Air, Water, and Solid Waste Management', 'Air, Water, and Solid Waste Management', 'Heavy Construction, Nec', 'Heavy Construction, Nec', 'Heavy Construction, Nec')",1
"('Highway and Street Construction', 'Heavy Construction, Nec', 'Heavy Construction, Nec', 'Highway and Street Construction', 'Heavy Construction, Nec', 'Heavy Construction, Nec', 'Heavy Construction, Nec')",1
"('National Security', 'National Security')",1
"('Miscellaneous Metalwork', 'Correctional Institutions', 'Sheet Metalwork', 'Metal Stampings, Nec', 'Correctional Institutions', 'Correctional Institutions', 'Correctional Institutions', 'Correctional Institutions', 'Correctional Institutions', 'Correctional Institutions', 'Correctional Institutions')",1
"('Hogs', 'Hogs', 'Correctional Institutions', 'Correctional Institutions', 'Hogs', 'Chicken Eggs', 'Correctional Institutions')",1
"('General Automotive Repair Shops', 'General Automotive Repair Shops', 'Local Trucking, Without Storage', 'Local Trucking, Without Storage', 'Truck Rental and Leasing, Without Drivers', 'Truck Rental and Leasing, Without Drivers', 'Elementary and Secondary Schools', 'Manufacturing Industries, Nec', 'Local Bus Charter Service', 'General Automotive Repair Shops', 'General Automotive Repair Shops', 'Elementary and Secondary Schools', 'Trucking, Except Local', 'Trucking, Except Local', 'Trucking Terminal Facilities', 'Machine Tools, Metal Cutting Type', 'Machine Tool Accessories', 'Machine Tool Accessories')",1
"('Special Trade Contractors, Nec',)",1
"('Subdividers and Developers, Nec', 'Subdividers and Developers, Nec')",1
"('Airports, Flying Fields, and Services',)",1
"('Air, Water, and Solid Waste Management', 'Heavy Construction, Nec', 'Heavy Construction, Nec', 'Air, Water, and Solid Waste Management')",1
"('National Security', 'National Security', 'National Security')",1
"('Hotels and Motels', 'Hotels and Motels')",1
"('Automotive Services, Nec', 'Motor Vehicle Parts and Accessories', 'Space Vehicle Equipment, Nec (research and development not producing prototypes)', 'Motor Vehicle Parts and Accessories', 'Guided Missiles and Space Vehicles (research and development not producing prototypes)', 'Space Vehicle Equipment, Nec (research and development not producing prototypes)', 'Space Propulsion Units and Parts (research and development not producing prototypes)', 'Automotive Services, Nec', 'Guided Missiles and Space Vehicles (research and development not producing prototypes)', 'Chemical Preparations, Nec', 'Chemical Preparations, Nec', 'Guided Missiles and Space Vehicles (research and development not producing prototypes)', 'Space Propulsion Units and Parts (research and development not producing prototypes)', 'Motor Vehicle Parts and Accessories', 'Industrial Inorganic Chemicals, Nec', 'Guided Missiles and Space Vehicles (research and development not producing prototypes)')",1
"('Dwelling Operators, Except Apartments',)",1
"('Excavation Work', 'Excavation Work', 'Excavation Work')",1
"('Real Estate Agents and Managers',)",1
