sic_permits,count
"(7538, 7538, 4212, 4212, 7513, 7513, 8211, 3999, 4141, 7538, 7538, 8211, 4213, 4213, 4231, 3541, 3545, 3545)",1
"(1799,)",1
"(6552, 6552)",1
"(4581,)",1
"(9511, 1629, 1629, 9511)",1
"(9711, 9711, 9711)",1
"(7011, 7011)",1
"(7549, 3714, 3769, 3714, 3761, 3769, 3764, 7549, 3761, 2899, 2899, 3761, 3764, 3714, 2819, 3761)",1
"(6514,)",1
"(1794, 1794, 1794)",1
"(6531,)",1
"(3732, 3732, 3732, 3732, 3732, 3083, 7538, 7539, 5171, 5171, 5171, 5171, 5541, 5171, 5171, 3999, 3999, 2759, 2759, 2759, 5171, 7537, 7537, 5541, 8731, 8731, 5541, 5541, 8731, 2834, 2834, 2834, 5211, 7538, 7532, 5311, 5331, 7219, 5541, 5211, 5211, 7216, 1629, 241, 5311, 5211, 7538, 5541, 5211, 5211, 5211, 7538, 5211, 5211, 5211, 5541, 5211, 5541, 7538, 3599, 8661, 9211, 7538, 5211, 5211, 5211, 2821, 2821, 2992, 2992, 3089, 3089, 1499, 1499, 5511, 9999, 9999, 5511, 5511, 9211)",1
"(9999, 9999, 9711, 7699, 9999, 7699, 9711, 9711, 9711, 9711, 9711, 9711, 9711, 9711)",1
"(2051, 5149, 2051, 2051, 3542, 3449, 3449, 3449, 7216, 7532, 5541, 5541, 5541, 4813, 2084, 2084, 5148, 5148, 5511, 5511, 7538, 7538, 5651, 3679, 5511, 5651, 3599, 4141, 4141, 4142, 8731, 2834, 2834, 2834, 5541, 7534, 5541, 5149, 5912, 5651, 241, 5149, 5149, 5541, 5331, 7538, 8062, 7538, 5331, 2511, 5013, 5072, 2891, 5651, 3679, 7538, 7532, 3823, 5651, 5541, 7532, 5149, 5411, 7538, 7538, 7538, 3599, 5651, 7699, 5531, 5541, 5541, 3599, 7534, 5531, 5912, 8011, 5912, 5541, 7534, 5541, 8021, 7538, 5411, 173, 7539, 5999, 8011, 172, 5912, 7549, 3089, 3089, 3679, 3993, 3548, 3548, 3548, 5015, 5015, 2844, 2844, 5093, 5093, 5051, 5015, 5015, 5015, 5015, 5015, 5015, 5093, 5093, 3273, 3273, 3273, 3273, 5093, 5093, 5093, 5093, 2752, 2752, 2022, 5331, 5331, 4215, 4215, 8221)",1
"(8221, 8221, 8221)",1
"(8221, 8221, 8221, 8733, 8299, 4941, 8221, 8221, 8221, 8221, 8221)",1
"(9511, 9511, 4941)",1
