sahar_classification,All facilities,Full-scale facilities only,Facility scale measurements,Plant or bioreactor scale measurement,Plant or bioreactor at full scale
BNR,1.3718113635074431,1.2366542413304538,1.8946519870744023,1.29373458621271,1.1239961834303045
Nitrification,0.9962459509198235,1.1164776620246364,0.590561004270876,1.114170144346459,1.3213536264442496
Organics removal,0.27775513853397726,0.27775513853397726,0.06815241528611567,0.27775513853397726,0.27775513853397726
