,Unnamed: 0,CWNS_NUM,FACILITY,STATE,CITY,LATITUDE,LONGITUDE,FLOW_2022_MGD_FINAL,CO2_emission,CH4_emission,N2O_emission,electricity_emission,onsite_NG_emission,upstream_NG_emission,LF_CH4,LA_N2O,total_emission,TT,TT_count,TT_flow_mgd,MMT_year,cumulative_emissions,cumulative_distribution,facility_rank,facility_fraction
25,1264,48007039001,69th Street Plant,TX,Houston,29.7551,-95.2977,185.0,14706.32484,78613.18472,96083.49628,221128.3417561072,16747.60323,3777.878525,4783.527779863014,6094.118363013698,441934.47549605474,"['A6', 'E3']",2,92.5,0.16130608355605996,21412051.911212694,0.18490013160602814,26,0.0016386210373731645
26,599,42000094002,PHILADELPHIA WATER DEPT (SW),PA,Philadelphia,39.8861,-75.2183,200.0,15898.729560000002,288103.7657,36084.53882427168,100441.93361188364,0.0,0.0,0.0,0.0,440528.9676761554,['*A1'],1,200.0,0.1607930732017967,21852580.87888885,0.18870424456247648,27,0.0017016449234259785
27,11250,34001082001,Passaic Valley Sewerage Commission - CS/CSO/STP,NJ,Newark,40.71374659,-74.13510644,330.0,26232.903774,140228.9241,59539.48906004828,177555.88516313734,11611.875,2619.375,9604.659730684933,12236.143684931509,439629.2555140021,['*B3'],1,330.0,0.16046467826261077,22292210.134402853,0.1925005882076099,28,0.0017646688094787924
28,10089,42005016001,ALCOSAN STP (ALLEGHENY COUNTY),PA,Pittsburgh,40.4745,-80.0408,197.0,15660.248616600002,183747.31376094,35543.27074,146037.6868720597,37444.10816,8446.539495,1912.7293287671237,6462.326712328768,435254.2236826032,"['*A1', '*A5']",2,98.5,0.15886779164415019,22727464.358085457,0.19625915200965494,29,0.0018276926955316064
29,8462,24000001001,BACK RIVER WWTP,MD,Baltimore,39.2953,-76.4917,132.0,10493.16151,190148.4853488,96375.76294013104,39876.87698692128,62504.21495999999,14099.52984,4661.936962602741,5939.214102739727,424099.1826507948,['*G1e'],1,132.0,0.15479620166754013,23151563.54073625,0.199921388352594,30,0.0018907165815844206
30,6282,51000161001,RICHMOND WWTP,VA,Richmond,37.522046,-77.422183,140.0,11129.11069,201672.635976,120164.49286943053,67934.87927995677,0.0,0.0,0.0,4117.224657534247,405018.3434749216,['*E1'],1,140.0,0.14783169536834637,23556581.88421117,0.20341885535491114,31,0.0019537404676372343
31,7470,48004026001,Central WWTP - Dallas,TX,Dallas,32.738055,-96.777222,120.1,9547.187101,173006.3113,103083.96852584716,96254.56853009506,0.0,0.0,6070.545753424659,7733.753424657536,395696.3346256444,['*E1'],1,120.1,0.14442916213836018,23952278.218836814,0.20683582373569445,32,0.0020167643536900485
32,3518,8000070001,Metro Wastewater Reclamation District ,CO,Denver,39.8135,-104.9593,123.3,9801.566774,177615.9715,105830.58550571986,79235.98119175169,0.0,0.0,0.0,14311.422369863012,386795.5273827945,['*E1e'],1,123.3,0.14118036749471996,24339073.74621961,0.21017593070976032,33,0.0020797882397428627
33,9141,53000776002,WEST POINT WWTP,WA,Seattle,47.663487,-122.427318,215.0,17091.13428,309711.5481,38790.879236092056,14403.302117179424,0.0,0.0,0.0,6139.401369863015,386136.26510613447,['*B1e'],1,215.0,0.14093973676373908,24725210.011325743,0.21351034473659145,34,0.0021428121257956764
34,15520,48000000423,Steven M Clouse Water Recycling Center,TX,San Antonio,29.235588,-98.418434,125.0,9936.705975,180064.8536,107289.72577627724,69169.59248975416,0.0,0.0,7822.727204,9965.997418,384249.6024133711,['*E1'],1,125.0,0.14025110488088044,25109459.613739114,0.21682846680870316,35,0.0022058360118484906
35,4104,48008015001,Dos Rios WWTP,TX,San Antonio,29.235588,-98.418434,125.0,9936.705975,180064.8536,107289.72577627724,69169.59248975416,0.0,0.0,5501.210670958905,7008.431958904111,378970.5204208944,['*E1'],1,125.0,0.13832423995362644,25488430.13416001,0.2201010022663598,36,0.0022688598979013048
36,10158,21000025001,MSD - MORRIS FORMAN STP,KY,Louisville,38.23,-85.8356,120.0,9539.237736,172862.2594,21650.72329456301,165659.3106309266,0.0,0.0,1137.601130753425,4226.438948630137,375075.5711488732,"['*C1', '*B1']",2,60.0,0.1369025834693387,25863505.70530888,0.22333990355219668,37,0.0023318837839541185
37,15845,6009031001,Point Loma WRP,CA,San Diego,32.6667,-117.2434,175.0,13911.38837,252090.79497,31573.97147123772,55168.68237,0.0,0.0,0.0,17807.72535616438,370552.5625344413,['*B1e'],1,175.0,0.13525168532507106,26234058.26784332,0.22653974716660946,38,0.0023949076700069327
38,14640,6000000116,Oakport WWF,CA,Oakland,37.760741,-122.215133,158.0,12559.9963524,227601.9748872,28506.785671174628,49259.828198193885,0.0,0.0,9887.927186080044,12597.020736557404,340413.53303160594,['*B1'],1,158.0,0.12425093955653616,26574471.800874926,0.2294793303190796,39,0.0024579315560597464
39,620,48004026002,Southside WWTP - Dallas,TX,Dallas,32.643888,-96.645833,110.0,8744.301258000001,158457.0711,94414.95868312396,58218.26201081674,0.0,0.0,11308.928547945206,0.0,331143.5216238859,['*E1e'],1,110.0,0.12086738539271837,26905615.322498813,0.23233886386507652,40,0.0025209554421125606
40,3455,47001016001,Nashville - Central WWTP,TN,Nashville,36.1872,-86.7894,100.0,7949.364780000001,144051.8828,85831.78062102178,66765.85983,0.0,0.0,5.489323287671233,12961.617945205478,317565.9953378114,['*E1'],1,100.0,0.11591158829830117,27223181.317836624,0.23508115099267368,41,0.002583979328165375
41,7075,36002001010,New York (C) - Owls Head WPCP,NY,Brooklyn,40.6398,-74.0356,120.0,9539.237736,172862.2594,102998.13674522616,23972.6386871876,0.0,0.0,878.2917260273973,6371.531506849315,316622.09580929053,['*E1e'],1,120.0,0.11556706497039104,27539803.413645916,0.2378152872364709,42,0.0026470032142181885
42,1733,47000940002,Memphis N. Maynard C. Stiles STP,TN,Memphis,35.188949,-90.050959,135.0,10731.64245,194470.0418,24357.063706383386,72504.59698,0.0,0.0,1153.2952905479451,9842.702732876714,313059.3429935753,['*A1'],1,135.0,0.114266660192655,27852862.75663949,0.2405186579344327,43,0.0027100271002710027
43,8147,12000017004,MDWASD Central District WWTF,FL,Miami,25.745,-80.1533,143.0,11367.59164,205994.1925,25800.44525935425,44587.42030614516,0.0,0.0,8949.199921578776,11401.101046377904,308099.9506300561,['*B1e'],1,143.0,0.11245648197997046,28160962.70726955,0.24317920264334386,44,0.002773050986323817
44,8864,55003100001,MILWAUKEE MSD COMBINED - Jones Island,WI,Milwaukee,43.024432,-87.897985,112.0,8903.288553600001,161338.10878080002,20207.341741592143,104796.18346818862,0.0,0.0,3483.3096673653604,4437.666589355999,303165.8988009021,['A1e'],1,112.0,0.11065555306232928,28464128.60607045,0.24579714018707793,45,0.0028360748723766306
45,7744,39001792001,Columbus Jackson Pike WWTP & Sewers,OH,Columbus,39.913,-83.0175,72.0,5723.542642,103717.3556,52568.597967344205,140042.15827314273,0.0,0.0,0.0,0.0,302051.65452688694,['F1'],1,72.0,0.11024885390231372,28766180.260597337,0.24840545586394183,46,0.002899098758429445
46,2785,36002001003,New York (C) - Bowery Bay WPCP,NY,Astoria,40.7784,-73.8946,110.0,8744.301258000001,158457.0711,80313.13578344253,46527.53303311522,0.0,0.0,1380.403356164384,5675.434931506849,301097.87948622904,['F1'],1,110.0,0.10990072601247358,29067278.140083566,0.2510055353787008,47,0.002962122644482259
47,5478,6002041001,San Jose/Santa Clara WPCP,CA,San Jose,37.433806,-121.944809,110.0,8744.301258000001,158457.0711,94414.95868312396,25690.27674648863,0.0,0.0,13767.999879351964,0.0,301074.6076909646,['*E1e'],1,110.0,0.10989223180720208,29368352.74777453,0.25360541393383085,48,0.0030251465305350727
48,52,53000776001,King County South Treatment Plant,WA,Renton,47.4708,-122.243,122.0,9698.225032,175743.29706480002,89074.56878,17587.910294055357,0.0,0.0,0.0,7154.603424657535,299258.60459311283,['F1e'],1,122.0,0.10922939067648618,29667611.352367643,0.25618961070315244,49,0.003088170416587887
49,5797,36002001009,New York (C) - Coney Island WPCP,NY,Brooklyn,40.5905,-73.9322,110.0,8744.301258000001,158457.0711,94414.95868312396,21974.918796588638,0.0,0.0,2454.0504109589046,3126.410959,289171.7112315756,['*E1e'],1,110.0,0.10554767459952509,29956783.063599218,0.25868670382085873,50,0.0031511943026407007
